row,col,y1924,y1925,y1926,y1928,y1929,y1930,y1932,y1933,y1934,y1935
1,1,2960,2280,2810,2010,2920,3280,3920,2180,1530,1440
1,2,3060,2750,3080,2200,2880,3390,3570,1980,1490,1880
1,3,3280,2700,2230,2410,3170,3380,3530,2080,1600,1880
1,4,2570,2380,2440,2470,2840,3340,3760,2160,1380,1560
1,5,2000,2300,3040,2390,3000,2970,3710,1960,1730,1620
1,6,1800,2310,3070,2580,2820,3170,3960,1920,1510,1600
1,7,3340,2580,2920,2810,3230,3130,3780,1960,1380,1580
1,8,3500,2540,2910,3000,3020,3180,3810,1770,1530,2000
1,9,3550,2360,3030,2670,3680,3460,3680,1760,1460,1540
1,10,4400,2380,3070,2680,3160,3270,3180,1700,1430,1440
1,11,3430,2430,2700,2950,3650,3580,3230,1730,1550,1330
1,12,4010,2410,2870,2860,3160,3390,3560,1940,1600,1820
1,13,3090,2390,2590,2940,3100,3620,3630,1810,1540,1390
1,14,2000,2620,2430,2660,2190,3270,2550,1680,1420,1280
1,15,2200,2870,1910,2840,2540,3260,2020,1410,1480,NA
1,16,3020,2730,2550,2560,3130,3630,3120,1960,1450,1210
1,17,3100,2730,2580,2040,3260,3760,3400,2220,1310,1380
1,18,3560,2800,1580,2230,3310,3530,3570,2220,1420,1570
1,19,3200,2670,1170,2020,3300,3580,3740,2310,1470,1630
2,1,1910,2420,3460,2350,3240,3760,3300,2110,1140,1070
2,2,1970,2660,3420,2630,2770,3700,3230,1960,1350,1370
2,3,2630,2320,2060,3130,2890,3590,3310,2030,1540,1600
2,4,2810,2410,2570,3000,3030,3590,3540,2080,1340,1320
2,5,3470,2510,3170,2530,3110,3790,3630,2000,1490,1550
2,6,3230,2460,3290,2910,3320,3850,3720,2030,1330,1300
2,7,4590,2460,3210,3000,3320,3870,3410,2070,1290,1050
2,8,2770,2430,3280,3100,3080,3630,3240,1920,1400,1190
2,9,3560,2480,3210,2920,3090,3780,3330,1920,1420,1500
2,10,4140,2370,3260,3150,3290,3850,3120,1920,1460,1260
2,11,3640,2650,3340,2870,3060,3800,3150,2010,1490,1360
2,12,2590,2710,3230,2840,2800,3850,3210,2060,1510,1770
2,13,2690,2540,2920,2930,2770,3820,3650,1990,1400,1320
2,14,2310,2560,2640,2610,2850,3650,3420,2210,1440,1260
2,15,2650,2640,2550,3060,2830,4000,3060,2060,1300,1190
2,16,1790,2680,2290,2900,2250,3580,2200,1890,1090,1010
2,17,2680,2630,2790,2750,2580,3440,2100,2040,1150,1120
2,18,2880,2900,2550,2540,2620,3460,2100,1870,1160,1180
2,19,2660,2860,2270,2930,2700,3640,2490,1870,1280,1250
3,1,2470,2240,2920,2870,3080,3370,3780,2250,1460,1640
3,2,2530,2750,3520,2430,2730,3660,3310,1980,1120,1300
3,3,1250,2200,2500,NA,2690,3530,3190,1990,1160,1220
3,4,2970,2380,2570,2730,2920,3640,3320,1930,1290,1160
3,5,3460,2350,3520,2900,2860,3690,3660,2000,1090,1080
3,6,2970,2600,3300,2850,2920,3650,3520,1900,1240,1540
3,7,3160,2300,3230,3180,3330,4040,3350,2090,1280,1580
3,8,4350,2450,3320,2890,3330,3920,3380,1980,1310,1200
3,9,3140,2500,3250,2300,3610,4000,3380,2070,1360,1380
3,10,2940,2560,3390,2920,3280,4020,3200,2200,1320,1280
3,11,3250,2740,3070,3000,3210,4140,3350,2310,1340,1400
3,12,2930,2540,3180,2930,3220,4030,3000,2190,1160,1320
3,13,2160,2860,2810,2840,2740,3610,3130,2160,1410,1360
3,14,1550,2670,2570,2510,2200,3290,2950,2020,1440,1230
3,15,2700,2940,2730,2500,2780,3950,2640,2000,1350,1200
3,16,2510,2900,2600,2500,3090,3940,2490,2160,1300,1060
3,17,2560,2890,3070,2500,2770,3600,2420,2020,1360,1060
3,18,2150,2950,2720,2340,2660,3320,2050,2140,1310,880
3,19,2140,2590,1490,2350,2360,3240,1790,1950,1130,720
